date,M1,M2,M3
1985-01-31,35505.98086021168,38310.98086021168,51849.96664781392
1985-02-28,36672.96511095943,39528.96511095943,53412.65705748312
1985-03-31,36866.38743205121,39712.38743205121,53608.8783775322
1985-04-30,37507.74790981057,40424.74790981057,54734.62234255604
1985-05-31,37996.18935040584,40941.18935040584,55708.648792078005
1985-06-30,39455.848315778305,42408.848315778305,57522.17882737696
1985-07-31,39983.9879924847,42938.9879924847,58109.83133742085
1985-08-31,40454.4749480435,43443.4749480435,58730.86170087515
1985-09-30,39603.661002942805,42619.661002942805,58846.16701265657
1985-10-31,39823.32043225161,42861.32043225161,59284.12490740528
1985-11-30,39867.01895867486,42957.01895867486,59285.13635750863
1985-12-31,41075.03352944726,44211.03352944726,61006.62443340312
1986-01-31,41108.902174819144,44317.902174819144,61857.25397031691
1986-02-28,42351.04663455103,45628.04663455103,63571.66189548798
1986-03-31,42549.65341647492,45864.65341647492,64244.276214212914
1986-04-30,44179.48176526214,47578.48176526214,66446.20308919664
1986-05-31,44642.70741433733,48183.70741433733,67756.03097302941
1986-06-30,46705.264218273616,50292.264218273616,69980.20975028674
1986-07-31,49073.98412744597,52727.98412744597,71783.62528455224
1986-08-31,48994.826505556026,52764.826505556026,72038.51071059538
1986-09-30,47974.921581307455,51836.921581307455,71787.67108496562
1986-10-31,51561.38000333631,55536.38000333631,73284.61723791735
1986-11-30,51601.236879995915,55658.236879995915,71452.88110075818
1986-12-31,48764.023790769104,52924.023790769104,70868.26294102432
1987-01-31,49449.60451471855,53891.60451471855,72317.6709391188
1987-02-28,53733.24272762606,58360.24272762606,73100.53331910842
1987-03-31,49654.22162057937,54499.22162057937,72760.68608438424
1987-04-30,50540.35603461577,55554.35603461577,73655.81942584526
1987-05-31,51535.711943239396,56754.711943239396,75028.35721608545
1987-06-30,51463.746045238164,56684.746045238164,74487.23141079547
1987-07-31,53049.6668533967,58380.6668533967,76154.10118110929
1987-08-31,53725.71377199113,59169.71377199113,76698.26133670931
1987-09-30,52389.24692013857,57957.24692013857,76263.33779227063
1987-10-31,51927.981277342864,57605.981277342864,76047.89892025798
1987-11-30,51754.512654956925,57514.512654956925,76683.08958515912
1987-12-31,53232.08865990219,59123.08865990219,77979.7686176484
1988-01-31,56235.09907611403,62343.09907611403,78732.28749453764
1988-02-29,56670.57080144594,63041.57080144594,79669.90174033916
1988-03-31,57705.89565830963,64201.89565830963,80605.493085934
1988-04-30,58765.399626845494,65385.399626845494,81658.41264351695
1988-05-31,58930.37376362293,65658.37376362292,82502.97347981065
1988-06-30,65841.05650729334,72591.05650729334,89398.02883431873
1988-07-31,61728.01784091239,68609.01784091239,85778.04891444424
1988-08-31,61377.07558259043,68417.07558259042,85573.73599356839
1988-09-30,62616.54588362672,69769.54588362672,86868.39212585097
1988-10-31,63146.15590944387,70447.15590944387,88686.97941166666
1988-11-30,62466.40237549412,69919.40237549413,87571.34994767628
1988-12-31,63802.1041014144,71375.1041014144,89703.48676552915
1989-01-31,61364.25820890611,69215.2582089061,91270.22297561174
1989-02-28,61401.60678813582,69531.60678813582,91869.00143679243
1989-03-31,62284.65429464289,70475.65429464288,93170.73771979843
1989-04-30,62012.08319881837,70341.08319881838,93406.405593878
1989-05-31,63183.85512600118,71621.85512600117,94157.9130206639
1989-06-30,63833.09721526712,72300.09721526712,94512.93200693825
1989-07-31,66730.15505306821,75417.15505306821,97400.62205199042
1989-08-31,66575.47372299548,75390.47372299548,97851.72879808262
1989-09-30,65213.23853855477,74120.23853855477,97032.45421437256
1989-10-31,65401.83404970895,74487.83404970895,97863.86619932277
1989-11-30,66160.07376905493,75402.07376905493,99165.60248232877
1989-12-31,67566.89881602822,76883.89881602822,101177.3767378835
1990-01-31,74066.44280137027,83697.44280137027,102560.02902915716
1990-02-28,74663.35434783077,84613.35434783077,103846.59356061298
1990-03-31,74984.0951629873,85038.0951629873,104685.08569628661
1990-04-30,76142.44685648437,86334.44685648437,106255.86770678258
1990-05-31,78194.92232266895,88488.92232266895,107222.81400558114
1990-06-30,80012.37515596277,90310.37515596277,109781.78276704592
1990-07-31,82304.10476721165,92844.10476721165,111621.61050503186
1990-08-31,84228.90005776349,95015.90005776349,113723.40381978436
1990-09-30,84479.69834541334,95371.69834541334,113208.57571718136
1990-10-31,85851.75448433956,96956.75448433956,115228.44157356286
1990-11-30,87029.92362149138,98355.92362149138,116547.37250832573
1990-12-31,90055.58647554493,101546.58647554493,120394.92870145303
1991-01-31,91017.83930441816,102801.83930441816,121753.30619024638
1991-02-28,82675.05025211959,94779.05025211959,122614.05022819364
1991-03-31,83910.27621804907,96186.27621804907,124937.35111557884
1991-04-30,84095.5304618954,96654.5304618954,125897.21726365398
1991-05-31,84596.97727076837,97182.97727076837,126792.35060511499
1991-06-30,87816.92334255896,100524.92334255896,129983.47568117086
1991-07-31,90444.1051611381,103374.1051611381,132978.37943717767
1991-08-31,90864.44564578272,103987.44564578272,134477.3484903361
1991-09-30,90047.84023914183,103397.84023914183,134686.71866172866
1991-10-31,89282.7684433831,103037.7684433831,135223.79866660526
1991-11-30,89760.01195382915,103643.01195382915,136496.20289661424
1991-12-31,92768.60887327259,106819.60887327259,141463.43435414528
1992-01-31,91944.59142278934,106313.59142278934,140480.3048536932
1992-02-29,92545.21704741125,107196.21704741125,142291.81198878548
1992-03-31,93626.46976302395,108342.46976302395,143231.4491347937
1992-04-30,94125.2147536714,108991.2147536714,144403.71980457142
1992-05-31,93969.00841287052,108712.00841287052,144500.81901449262
1992-06-30,94112.67548430628,108796.67548430628,144697.0403345417
1992-07-31,97968.46413356031,112673.46413356031,148531.4476763255
1992-08-31,98998.80785849274,113624.80785849274,150761.6951542029
1992-09-30,98073.84853720268,112707.84853720268,150345.9891617278
1992-10-31,97426.3940796604,112263.3940796604,151361.48506548695
1992-11-30,96162.92784131851,111017.92784131851,151009.50042952262
1992-12-31,98972.21042130463,113885.21042130463,154815.58716841272
1993-01-31,96388.58810640482,111457.58810640482,152566.12213857175
1993-02-28,96332.10012542551,111633.10012542551,153721.1981565926
1993-03-31,97930.34871436894,113221.34871436894,155045.1863418722
1993-04-30,96758.6064677497,112188.6064677497,154350.3201208737
1993-05-31,98810.43569724253,114242.43569724253,157025.60564422322
1993-06-30,99017.10633823251,114471.10633823251,157178.33460982842
1993-07-31,102444.75949979544,118048.75949979544,159810.1277787341
1993-08-31,102967.19025625114,118530.19025625114,160135.81471201146
1993-09-30,100583.94179716735,116189.94179716735,159712.01711870957
1993-10-31,101158.22382365816,117012.22382365816,162228.50497583384
1993-11-30,100335.84670445122,116248.84670445122,163380.54664354466
1993-12-31,103641.73251288783,119600.73251288783,167620.54547677012
1994-01-31,101677.25108661779,117951.25108661779,167016.70976507268
1994-02-28,103891.24830979262,120500.24830979262,169732.45329255605
1994-03-31,104659.90501476856,121430.90501476856,170927.98731471074
1994-04-30,105381.76383474507,122435.76383474507,171508.55967403122
1994-05-31,107228.5106664703,124480.5106664703,172862.8913624112
1994-06-30,109166.56218873626,126539.56218873626,174341.6314135027
1994-07-31,113966.34524523246,131619.34524523246,178969.01563630957
1994-08-31,115113.010554368,132919.010554368,181116.32420571265
1994-09-30,112759.43061748189,130711.43061748189,180838.17542729256
1994-10-31,112589.25124889202,130777.25124889202,181777.81257330076
1994-11-30,112826.49368844151,131221.49368844152,182240.04527052978
1994-12-31,115120.85546537678,133805.85546537678,185432.18179668902
1995-01-31,115181.58435850758,134145.5843585076,186138.17396882435
1995-02-28,116672.43009165928,135906.43009165928,187828.30709151513
1995-03-31,115040.82304810127,134737.82304810127,187549.1468629917
1995-04-30,115253.81654470018,135224.81654470018,187525.88351061475
1995-05-31,116753.6485256147,136897.6485256147,189870.42485017024
1995-06-30,116418.77319685512,136615.77319685512,190127.33317642004
1995-07-31,119381.07413370677,139809.07413370677,193415.55746239715
1995-08-31,120993.14493327486,141583.14493327486,195187.6180434589
1995-09-30,120187.04524998984,140924.04524998984,195825.84305867009
1995-10-31,118913.64353248547,139998.64353248547,195739.8697998857
1995-11-30,118414.4513618458,139645.4513618458,196794.81225767534
1995-12-31,121111.53274046935,142390.53274046935,200526.05168891785
1996-01-31,120119.72585331879,141538.72585331879,199184.8688518814
1996-02-29,120319.69640223235,141951.69640223234,200173.0556028502
1996-03-31,119976.60425252431,141800.60425252432,199666.31910107395
1996-04-30,121122.75376185791,143138.75376185792,200474.4677336472
1996-05-31,120741.43616950401,142762.436169504,200719.2386586569
1996-06-30,123323.66431207495,145318.66431207495,203148.74180689343
1996-07-31,126611.10713890204,148897.10713890204,207018.54990229433
1996-08-31,127347.52414532332,149812.52414532332,208464.92355007876
1996-09-30,126851.62004198629,149469.6200419863,209921.41169889667
1996-10-31,125424.57682440305,148427.57682440305,209728.22472915764
1996-11-30,126501.24554504556,149603.24554504556,210747.76643333017
1996-12-31,127982.36318279403,151448.363182794,213964.17776196968
1997-01-31,128178.58921792846,151821.58921792847,215582.4979273229
1997-02-28,128500.23057683857,152459.23057683857,216649.5777863527
1997-03-31,128714.3385240867,152805.3385240867,218246.65749953565
1997-04-30,129779.81126348625,154233.81126348625,219506.92432830448
1997-05-31,128165.0968260362,152647.0968260362,217682.2683418687
1997-06-30,134547.88546251078,159094.88546251078,225045.62509422586
1997-07-31,134348.94026809034,159165.94026809034,224972.800686785
1997-08-31,135272.53344800844,160198.53344800844,225631.25470406306
1997-09-30,134158.69783881048,159312.69783881048,226127.87670480585
1997-10-31,134468.37936318744,160113.37936318744,228735.39507123124
1997-11-30,134436.96576917567,160227.96576917567,229451.50174440004
1997-12-31,137200.66101537895,163183.66101537895,233608.56166915112
1998-01-31,135007.5514197428,161460.5514197428,231154.78371843428
1998-02-28,134409.06012215203,161374.06012215203,231664.55457052056
1998-03-31,135750.38428061485,162918.38428061485,233865.46999540096
1998-04-30,136154.02689745327,163812.02689745327,234205.31723012513
1998-05-31,136875.54366228206,164642.54366228206,234854.6681964731
1998-06-30,140407.06473311756,168271.06473311756,239509.3615720703
1998-07-31,145626.94432261353,173810.94432261353,243658.32989599463
1998-08-31,146515.34732907542,174922.34732907542,244264.18850789874
1998-09-30,148078.87794197217,176780.87794197217,246531.85963959995
1998-10-31,145795.48776004207,174993.48776004207,244422.98617412403
1998-11-30,144900.71374687282,174224.71374687282,244910.5051239367
1998-12-31,146471.90863295022,175994.90863295022,247713.23336030782
1999-01-31,148858.7826054346,178891.7826054346,251007.52634690495
1999-02-28,147852.9017494251,178082.9017494251,249099.93145199484
1999-03-31,150681.2529904413,181361.2529904413,253345.99898584036
1999-04-30,147842.7966568689,179072.7966568689,252129.2245115154
1999-05-31,148796.61539523094,180200.61539523094,252669.33886670205
1999-06-30,153000.10339781299,184525.10339781299,258213.09688314018
1999-07-31,160580.31142364384,192468.31142364384,267021.81583317847
1999-08-31,158218.88564826443,190369.88564826443,265353.93461276125
1999-09-30,156628.68754912564,189086.68754912564,265480.3658756795
1999-10-31,156156.0414603116,189042.0414603116,267947.2926777398
1999-11-30,156153.83249313795,189122.83249313795,267413.24702317326
1999-12-31,161998.2242149277,195067.2242149277,273077.28861372516
2000-01-31,158791.3260331361,192396.3260331361,271083.79944821505
2000-02-29,160108.19383894978,194116.19383894978,272642.4440574708
2000-03-31,161294.4711210297,195625.4711210297,273847.08113055566
2000-04-30,161014.14223370398,195469.14223370398,272735.4974669787
2000-05-31,160856.0353084787,195335.0353084787,274123.20700876904
2000-06-30,165901.40463920622,200209.40463920622,279335.20939130976
2000-07-31,168161.87940221958,202611.87940221958,282836.8496490928
2000-08-31,170618.56161638667,205151.56161638667,285296.6963004297
2000-09-30,171925.8068306026,206558.8068306026,287754.5200515599
2000-10-31,168786.86328659413,203730.86328659413,286297.0204526387
2000-11-30,167441.8978997556,202436.8978997556,287584.59643419785
2000-12-31,173711.43351980016,208951.43351980016,296481.3115432272
2001-01-31,169547.29338919124,205278.29338919124,293122.2857500159
2001-02-28,174430.09673091033,210265.09673091033,297891.27298729116
2001-03-31,177022.25754195033,213236.25754195033,301530.47045912925
2001-04-30,176125.52439836264,212780.52439836264,302016.9779588386
2001-05-31,178936.9695178553,216012.9695178553,308263.69379710197
2001-06-30,183973.76498425286,221193.76498425286,310737.7007498857
2001-07-31,189529.86567929073,227159.86567929073,315941.61153159966
2001-08-31,192441.141699675,230304.141699675,320555.84690306307
2001-09-30,192262.17888751498,230508.17888751498,321448.95734431734
2001-10-31,192712.0790724184,231543.0790724184,325542.2959125577
2001-11-30,194428.1901755057,233523.1901755057,329858.15350353403
2001-12-31,216087.77479193197,255902.99190106668,345819.9413482392
2002-01-31,210863.9542313728,251219.97052839684,342845.5475478542
2002-02-28,213737.18312151672,254503.104936423,346532.78640451893
2002-03-31,213996.21243428282,255040.53382649797,345996.74359894707
2002-04-30,214249.03725050655,255562.95545152487,345842.28835454513
2002-05-31,215180.34862622642,256608.7022569332,348447.2902244542
2002-06-30,222042.63656098454,263546.3852029295,352601.11804852297
2002-07-31,226443.71102584322,268198.1369513782,356348.79372033995
2002-08-31,230153.37030988853,272019.0775772135,363225.51103304623
2002-09-30,230083.23484185495,272224.9573349939,365273.9715136505
2002-10-31,228532.7822911904,271258.00743427215,365976.83419508755
2002-11-30,232611.2287955705,275508.09023723484,369694.5497208998
2002-12-31,243795.07440888023,287109.447324478,381494.3249968667
2003-01-31,242791.45458066504,286480.1876086322,382449.2803738983
2003-02-28,247047.78086348996,291159.24952587235,385986.6791220345
2003-03-31,245616.1970665712,289956.949690051,385738.91299932473
2003-04-30,243251.79075386887,287788.4143124522,383025.3304070941
2003-05-31,241311.41943045094,285983.2512973863,381055.95933180756
2003-06-30,246284.2057100645,291372.31149769033,381931.82765665813
2003-07-31,255631.4317253544,301023.3469652595,392612.82536637335
2003-08-31,258058.03197029734,303815.2920381018,395828.8137595081
2003-09-30,257499.12194080272,303847.05886109086,396281.6807413827
